total_steps,episode_reward,episode_length,crashed
6,3.3478262,6,0
14,4.652174,8,0
21,4.0869565,7,0
28,4.0869565,7,0
38,6.0652175,10,0
40,0.6956522,2,0
45,2.7173915,5,0
51,3.478261,6,0
53,0.6956522,2,0
61,4.7608695,8,0
70,5.4130435,9,0
85,9.347826,15,0
91,3.326087,6,0
94,1.3043479,3,0
105,6.652174,11,0
113,4.717391,8,0
126,7.978261,13,0
134,4.7391305,8,0
137,1.326087,3,0
145,4.673913,8,0
152,3.9782612,7,0
157,2.6086957,5,0
161,2.0869565,4,0
170,5.4130435,9,0
173,1.3695652,3,0
177,2.0217392,4,0
180,1.3913044,3,0
183,1.326087,3,0
192,5.543478,9,0
194,0.6956522,2,0
206,7.347826,12,0
214,4.7826085,8,0
216,0.6956522,2,0
220,2.0869565,4,0
224,1.978261,4,0
232,4.630435,8,0
239,4.0869565,7,0
242,1.3043479,3,0
245,1.3043479,3,0
253,4.7608695,8,0
264,6.8695645,11,0
282,11.586956,18,0
307,16.21739,25,0
312,2.6086957,5,0
324,7.4782605,12,0
326,0.65217394,2,0
328,0.65217394,2,0
332,1.9565217,4,0
334,0.6956522,2,0
356,14.043478,22,0
362,3.478261,6,0
365,1.326087,3,0
371,3.3478262,6,0
373,0.65217394,2,0
380,4.173913,7,0
382,0.65217394,2,0
384,0.65217394,2,0
390,3.3695655,6,0
395,2.7608697,5,0
400,2.6956522,5,0
405,2.652174,5,0
407,0.65217394,2,0
409,0.6956522,2,0
415,3.3260872,6,0
421,3.3478262,6,0
426,2.7391305,5,0
431,2.6956522,5,0
434,1.3913044,3,0
439,2.6739132,5,0
462,15.130433,23,0
475,8.108695,13,0
477,0.65217394,2,0
479,0.6956522,2,0
486,4.0869565,7,0
488,0.6956522,2,0
501,8.0,13,0
503,0.65217394,2,0
510,4.152174,7,0
521,6.717391,11,0
527,3.2608697,6,0
534,4.0869565,7,0
538,2.0869565,4,0
545,4.0,7,0
567,14.45652,22,0
570,1.3043479,3,0
572,0.6956522,2,0
577,2.7173915,5,0
579,0.65217394,2,0
587,4.7608695,8,0
592,2.6086957,5,0
594,0.6956522,2,0
597,1.3913044,3,0
612,9.413044,15,0
622,6.152174,10,0
627,2.630435,5,0
631,2.0217392,4,0
634,1.3695652,3,0
642,4.782609,8,0
647,2.7608697,5,0
653,3.3695655,6,0
656,1.3695652,3,0
662,3.3478262,6,0
664,0.6956522,2,0
671,4.021739,7,0
678,3.9130437,7,0
683,2.7173915,5,0
696,8.065217,13,0
699,1.326087,3,0
704,2.6956522,5,0
707,1.3695652,3,0
712,2.6956522,5,0
718,3.3478262,6,0
725,3.934783,7,0
737,7.565217,12,0
746,5.434783,9,0
750,2.0652175,4,0
752,0.6956522,2,0
759,4.173913,7,0
761,0.65217394,2,0
766,2.6086957,5,0
769,1.3913044,3,0
773,2.0,4,0
780,4.173913,7,0
787,4.152174,7,0
792,2.7826087,5,0
800,4.652174,8,0
803,1.3043479,3,0
810,3.956522,7,0
816,3.304348,6,0
825,5.4347825,9,0
829,1.978261,4,0
831,0.65217394,2,0
839,4.869565,8,0
849,6.1304345,10,0
851,0.6956522,2,0
858,4.0869565,7,0
870,7.478261,12,0
878,4.804348,8,0
893,9.543478,15,0
899,3.3260872,6,0
902,1.3913044,3,0
907,2.6086957,5,0
921,8.73913,14,0
926,2.7173915,5,0
930,2.0652175,4,0
935,2.7173915,5,0
941,3.3695655,6,0
947,3.2608697,6,0
949,0.65217394,2,0
953,2.0217392,4,0
963,6.0000005,10,0
978,9.434782,15,0
983,2.6956522,5,0
985,0.6956522,2,0
990,2.7608697,5,0
997,3.9130437,7,0
1008,6.760869,11,0
1010,0.65217394,2,0
1015,2.6739132,5,0
1025,6.1304345,10,0
1027,0.65217394,2,0
1031,1.9565217,4,0
1039,4.695652,8,0
1043,2.0217392,4,0
1048,2.6086957,5,0
1058,6.1739125,10,0
1061,1.326087,3,0
1065,1.978261,4,0
1067,0.6956522,2,0
1070,1.3913044,3,0
1074,2.0434783,4,0
1080,3.3260872,6,0
1086,3.3695655,6,0
1093,4.0434785,7,0
1098,2.7608697,5,0
1112,8.73913,14,0
1125,8.021739,13,0
1131,3.3913045,6,0
1136,2.6739132,5,0
1141,2.6086957,5,0
1148,3.9130437,7,0
1157,5.239131,9,0
1170,8.217391,13,0
1174,2.0217392,4,0
1176,0.65217394,2,0
1190,8.760869,14,0
1192,0.65217394,2,0
1199,4.0652175,7,0
1206,4.0652175,7,0
1209,1.3043479,3,0
1217,4.7826085,8,0
1222,2.7173915,5,0
1232,6.043478,10,0
1249,10.934782,17,0
1255,3.4347827,6,0
1258,1.3043479,3,0
1260,0.65217394,2,0
1265,2.7826087,5,0
1269,1.9565217,4,0
1273,1.9565217,4,0
1275,0.65217394,2,0
1281,3.4347827,6,0
1289,4.847826,8,0
1291,0.6956522,2,0
1297,3.3478262,6,0
1299,0.6956522,2,0
1304,2.7173915,5,0
1310,3.326087,6,0
1313,1.3695652,3,0
1318,2.630435,5,0
1326,4.652174,8,0
1328,0.6956522,2,0
1334,3.3260872,6,0
1342,4.869565,8,0
1344,0.6956522,2,0
1375,19.978262,31,0
1383,4.652174,8,0
1388,2.7173915,5,0
1392,2.0,4,0
1395,1.3913044,3,0
1406,6.8260865,11,0
1413,4.0869565,7,0
1424,6.6956525,11,0
1433,5.26087,9,0
1438,2.652174,5,0
1442,1.978261,4,0
1466,15.434782,24,0
1468,0.6956522,2,0
1470,0.65217394,2,0
1474,1.978261,4,0
1476,0.6956522,2,0
1482,3.4347827,6,0
1490,4.7826085,8,0
1493,1.3043479,3,0
1496,1.3913044,3,0
1500,1.9565217,4,0
1503,1.3913044,3,0
1514,6.8478255,11,0
1519,2.6956522,5,0
1524,2.6956522,5,0
1526,0.65217394,2,0
1528,0.6956522,2,0
1530,0.65217394,2,0
1539,5.347826,9,0
1541,0.65217394,2,0
1545,2.0869565,4,0
1555,6.195652,10,0
1563,4.5652175,8,0
1573,6.0217395,10,0
1578,2.6086957,5,0
1590,7.4999995,12,0
1595,2.6739132,5,0
1605,5.956522,10,0
1608,1.3913044,3,0
1610,0.65217394,2,0
1612,0.6956522,2,0
1617,2.6086957,5,0
1619,0.65217394,2,0
1622,1.3043479,3,0
1628,3.4347827,6,0
1630,0.65217394,2,0
1645,9.478261,15,0
1648,1.3913044,3,0
1654,3.3913045,6,0
1661,4.0869565,7,0
1663,0.6956522,2,0
1676,7.913044,13,0
1683,3.956522,7,0
1688,2.6739132,5,0
1691,1.3695652,3,0
1694,1.3913044,3,0
1709,9.478261,15,0
1716,4.043478,7,0
1723,4.0434785,7,0
1725,0.6956522,2,0
1731,3.478261,6,0
1737,3.478261,6,0
1742,2.7391305,5,0
1748,3.456522,6,0
1750,0.6956522,2,0
1757,4.021739,7,0
1761,2.0869565,4,0
1767,3.3913045,6,0
1769,0.6956522,2,0
1772,1.3043479,3,0
1776,2.0434783,4,0
1780,2.0434783,4,0
1787,4.0,7,0
1791,2.0,4,0
1793,0.6956522,2,0
1796,1.3043479,3,0
1801,2.7826087,5,0
1805,2.0217392,4,0
1812,4.108696,7,0
1822,6.108696,10,0
1830,4.652174,8,0
1832,0.6956522,2,0
1841,5.3478265,9,0
1849,4.5652175,8,0
1859,6.1304345,10,0
1867,4.7391305,8,0
1873,3.4130437,6,0
1876,1.3913044,3,0
1882,3.3478262,6,0
1887,2.7391305,5,0
1893,3.478261,6,0
1900,4.021739,7,0
1902,0.65217394,2,0
1904,0.65217394,2,0
1911,4.0652175,7,0
1917,3.3478262,6,0
1923,3.3695655,6,0
1931,4.7608695,8,0
1934,1.3043479,3,0
1937,1.3043479,3,0
1944,4.0434785,7,0
1950,3.2608697,6,0
1952,0.6956522,2,0
1956,2.0652175,4,0
1965,5.326087,9,0
1968,1.3043479,3,0
1974,3.304348,6,0
1980,3.326087,6,0
1983,1.326087,3,0
1985,0.65217394,2,0
1988,1.326087,3,0
1994,3.3695652,6,0
2001,4.0,7,0
2003,0.65217394,2,0
2005,0.65217394,2,0
2008,1.326087,3,0
2015,3.978261,7,0
2023,4.630435,8,0
2029,3.478261,6,0
2034,2.6956522,5,0
2040,3.3913045,6,0
2049,5.239131,9,0
2051,0.6956522,2,0
2053,0.65217394,2,0
2059,3.3695655,6,0
2070,6.8260865,11,0
2078,4.630435,8,0
2081,1.326087,3,0
2084,1.3043479,3,0
2092,4.652174,8,0
2097,2.7826087,5,0
2101,2.0869565,4,0
2107,3.2608697,6,0
2112,2.6739132,5,0
2119,4.0,7,0
2130,6.869565,11,0
2132,0.6956522,2,0
2137,2.7391305,5,0
2139,0.65217394,2,0
2145,3.3260872,6,0
2147,0.65217394,2,0
2160,7.9565215,13,0
2163,1.3043479,3,0
2167,2.0217392,4,0
2171,2.0217392,4,0
2175,2.0869565,4,0
2179,2.0217392,4,0
2182,1.3913044,3,0
2186,1.978261,4,0
2190,2.0217392,4,0
2201,6.5869565,11,0
2207,3.3913045,6,0
2213,3.3260872,6,0
2215,0.65217394,2,0
2231,10.413042,16,0
2233,0.6956522,2,0
2239,3.4130435,6,0
2243,2.0652175,4,0
2250,4.021739,7,0
2256,3.3260872,6,0
2261,2.6739132,5,0
2265,2.0652175,4,0
2268,1.3043479,3,0
2275,4.043478,7,0
2279,2.0434783,4,0
2283,2.0869565,4,0
2290,4.043478,7,0
2292,0.6956522,2,0
2296,2.0217392,4,0
2313,10.608696,17,0
2317,1.978261,4,0
2321,1.978261,4,0
2331,6.0652175,10,0
2336,2.6956522,5,0
2338,0.65217394,2,0
2344,3.304348,6,0
2350,3.4130437,6,0
2357,4.0434785,7,0
2361,2.0,4,0
2371,5.934783,10,0
2376,2.6956522,5,0
2381,2.7173915,5,0
2388,3.9130437,7,0
2390,0.65217394,2,0
2394,2.0217392,4,0
2408,8.956521,14,0
2424,9.869566,16,0
2430,3.3695652,6,0
2439,5.543478,9,0
2449,6.0,10,0
2459,6.0652175,10,0
2462,1.3043479,3,0
2469,4.0652175,7,0
2471,0.65217394,2,0
2473,0.6956522,2,0
2475,0.6956522,2,0
2486,6.7826085,11,0
2488,0.6956522,2,0
2494,3.3260872,6,0
2502,4.6956525,8,0
2527,16.23913,25,0
2532,2.7173915,5,0
2539,4.0,7,0
2548,5.326087,9,0
2553,2.7608697,5,0
2557,2.0869565,4,0
2560,1.3695652,3,0
2563,1.3043479,3,0
2569,3.2608697,6,0
2574,2.6956522,5,0
2578,2.0217392,4,0
2584,3.4130437,6,0
2589,2.652174,5,0
2597,4.652174,8,0
2607,6.0,10,0
2611,2.0,4,0
2615,2.0217392,4,0
2627,7.326087,12,0
2634,4.152174,7,0
2639,2.6739132,5,0
2647,4.652174,8,0
2652,2.652174,5,0
2656,1.9565217,4,0
2675,12.347825,19,0
2677,0.6956522,2,0
2681,2.0652175,4,0
2684,1.3695652,3,0
2689,2.7173915,5,0
2694,2.7608697,5,0
2703,5.478261,9,0
2720,10.543479,17,0
2722,0.6956522,2,0
2728,3.3695652,6,0
2734,3.304348,6,0
2736,0.65217394,2,0
2738,0.65217394,2,0
2751,7.8913045,13,0
2768,10.586957,17,0
2771,1.3043479,3,0
2778,4.021739,7,0
2782,1.978261,4,0
2788,3.3478262,6,0
2793,2.7608697,5,0
2804,6.76087,11,0
2813,5.4565215,9,0
2824,6.739131,11,0
2830,3.3478262,6,0
2833,1.326087,3,0
2836,1.3695652,3,0
2852,10.108696,16,0
2856,2.0869565,4,0
2869,7.9130435,13,0
2875,3.3913045,6,0
2885,5.978261,10,0
2887,0.6956522,2,0
2889,0.65217394,2,0
2894,2.7173915,5,0
2905,6.630435,11,0
2914,5.3913045,9,0
2917,1.3913044,3,0
2921,1.978261,4,0
2926,2.7391305,5,0
2935,5.434783,9,0
2939,1.978261,4,0
2941,0.65217394,2,0
2946,2.6086957,5,0
2948,0.6956522,2,0
2959,6.8043475,11,0
2961,0.65217394,2,0
2963,0.65217394,2,0
2969,3.3260872,6,0
2974,2.6956522,5,0
2981,4.1086955,7,0
2987,3.3478262,6,0
2994,4.021739,7,0
2997,1.3913044,3,0
3000,1.3913044,3,0
3002,0.65217394,2,0
3005,1.3913044,3,0
3012,4.0,7,0
3020,4.7608695,8,0
3025,2.652174,5,0
3028,1.3043479,3,0
3031,1.3913044,3,0
3038,4.1086955,7,0
3044,3.3260872,6,0
3055,6.782609,11,0
3064,5.434783,9,0
3068,1.978261,4,0
3070,0.65217394,2,0
3072,0.65217394,2,0
3091,12.260869,19,0
3113,14.043479,22,0
3119,3.3913045,6,0
3126,3.9130437,7,0
3132,3.3478262,6,0
3140,4.652174,8,0
3144,1.978261,4,0
3147,1.3695652,3,0
3151,2.0652175,4,0
3163,7.26087,12,0
3168,2.7826087,5,0
3174,3.4130437,6,0
3176,0.6956522,2,0
3180,2.0869565,4,0
3184,1.9565217,4,0
3196,7.2826085,12,0
3199,1.3043479,3,0
3203,2.0869565,4,0
3213,6.0,10,0
3232,12.086957,19,0
3236,2.0217392,4,0
3241,2.652174,5,0
3245,2.0217392,4,0
3251,3.3913045,6,0
3255,1.9565217,4,0
3264,5.26087,9,0
3271,4.0434785,7,0
3280,5.456522,9,0
3286,3.3478262,6,0
3290,2.0434783,4,0
3293,1.3043479,3,0
3297,2.0652175,4,0
3302,2.7173915,5,0
3306,2.0217392,4,0
3308,0.65217394,2,0
3314,3.478261,6,0
3318,1.9565217,4,0
3321,1.3913044,3,0
3323,0.65217394,2,0
3328,2.630435,5,0
3333,2.6956522,5,0
3344,6.6521735,11,0
3349,2.652174,5,0
3369,12.891303,20,0
3372,1.3043479,3,0
3378,3.282609,6,0
3380,0.6956522,2,0
3388,4.717391,8,0
3398,6.260869,10,0
3409,6.608696,11,0
3414,2.7173915,5,0
3420,3.3913045,6,0
3432,7.347826,12,0
3438,3.3478262,6,0
3450,7.4347825,12,0
3455,2.7826087,5,0
3460,2.6739132,5,0
3462,0.6956522,2,0
3468,3.326087,6,0
3476,4.7391305,8,0
3480,2.0869565,4,0
3482,0.65217394,2,0
3486,1.9565217,4,0
3492,3.478261,6,0
3496,2.0,4,0
3499,1.3913044,3,0
3505,3.3913045,6,0
3508,1.3695652,3,0
3510,0.65217394,2,0
3512,0.6956522,2,0
3527,9.217392,15,0
3531,1.978261,4,0
3537,3.456522,6,0
3540,1.3913044,3,0
3551,6.673913,11,0
3555,2.0217392,4,0
3558,1.3913044,3,0
3562,2.0869565,4,0
3569,4.0869565,7,0
3572,1.3043479,3,0
3576,2.0652175,4,0
3580,2.0434783,4,0
3589,5.478261,9,0
3592,1.3043479,3,0
3603,6.695652,11,0
3610,3.934783,7,0
3612,0.65217394,2,0
3614,0.65217394,2,0
3616,0.6956522,2,0
3623,4.0,7,0
3632,5.3913045,9,0
3634,0.65217394,2,0
3641,4.0869565,7,0
3646,2.652174,5,0
3670,15.652173,24,0
3672,0.65217394,2,0
3678,3.3260872,6,0
3686,4.695652,8,0
3697,6.847826,11,0
3702,2.7608697,5,0
3708,3.3478262,6,0
3713,2.6086957,5,0
3730,11.086955,17,0
3744,8.586957,14,0
3750,3.304348,6,0
3756,3.3478262,6,0
3763,3.956522,7,0
3768,2.6739132,5,0
3772,2.0869565,4,0
3776,2.0217392,4,0
3783,4.173913,7,0
3786,1.3695652,3,0
3795,5.4130435,9,0
3798,1.3695652,3,0
3803,2.6739132,5,0
3810,4.0652175,7,0
3821,6.7608695,11,0
3830,5.326087,9,0
3832,0.6956522,2,0
3838,3.3260872,6,0
3842,2.0217392,4,0
3847,2.7608697,5,0
3850,1.3913044,3,0
3862,7.434782,12,0
3865,1.3043479,3,0
3872,4.0434785,7,0
3875,1.3913044,3,0
3879,2.0869565,4,0
3888,5.26087,9,0
3890,0.6956522,2,0
3901,6.73913,11,0
3909,4.782609,8,0
3915,3.4347825,6,0
3917,0.6956522,2,0
3924,3.9782612,7,0
3928,2.0652175,4,0
3935,4.0434785,7,0
3939,2.0217392,4,0
3955,10.173913,16,0
3964,5.2173915,9,0
3970,3.2608697,6,0
3994,15.326087,24,0
3996,0.6956522,2,0
4001,2.7608697,5,0
4015,8.97826,14,0
4025,6.1304345,10,0
4029,2.0652175,4,0
4036,4.130435,7,0
4051,9.347826,15,0
4058,4.173913,7,0
4074,10.086956,16,0
4076,0.65217394,2,0
4081,2.7173915,5,0
4089,4.652174,8,0
4098,5.282609,9,0
4100,0.65217394,2,0
4104,2.0652175,4,0
4107,1.3695652,3,0
4121,8.652174,14,0
4126,2.6956522,5,0
4142,10.173913,16,0
4148,3.2608697,6,0
4153,2.630435,5,0
4160,4.0652175,7,0
4163,1.3913044,3,0
4180,10.782608,17,0
4184,2.0652175,4,0
4195,6.630435,11,0
4199,2.0869565,4,0
4204,2.7391305,5,0
4210,3.4130437,6,0
4213,1.3695652,3,0
4222,5.3260875,9,0
4234,7.4347825,12,0
4238,1.9565217,4,0
4248,5.9347825,10,0
4259,6.717391,11,0
4261,0.65217394,2,0
4264,1.3913044,3,0
4268,1.978261,4,0
4277,5.369565,9,0
4283,3.2608697,6,0
4286,1.3913044,3,0
4292,3.4130435,6,0
4296,1.9565217,4,0
4304,4.826087,8,0
4307,1.3043479,3,0
4312,2.7391305,5,0
4321,5.4782605,9,0
4327,3.304348,6,0
4340,8.108695,13,0
4350,6.130435,10,0
4355,2.6739132,5,0
4357,0.65217394,2,0
4359,0.65217394,2,0
4361,0.65217394,2,0
4367,3.3913045,6,0
4377,6.1521735,10,0
4379,0.65217394,2,0
4385,3.3478262,6,0
4390,2.7173915,5,0
4392,0.65217394,2,0
4398,3.3913045,6,0
4407,5.4782605,9,0
4414,4.0,7,0
4420,3.3913045,6,0
4439,12.086956,19,0
4446,4.021739,7,0
4450,2.0217392,4,0
4471,13.565217,21,0
4473,0.6956522,2,0
4481,4.7826085,8,0
4484,1.3043479,3,0
4489,2.652174,5,0
4492,1.3913044,3,0
4494,0.6956522,2,0
4501,3.956522,7,0
4503,0.65217394,2,0
4513,6.1304345,10,0
4516,1.3913044,3,0
4518,0.6956522,2,0
4521,1.3043479,3,0
4524,1.3043479,3,0
4530,3.326087,6,0
4532,0.6956522,2,0
4542,6.0434785,10,0
4549,3.956522,7,0
4554,2.7173915,5,0
4561,4.130435,7,0
4566,2.7391305,5,0
4569,1.3913044,3,0
4574,2.7826087,5,0
4590,9.891305,16,0
4594,2.0869565,4,0
4598,1.9565217,4,0
4605,4.173913,7,0
4607,0.65217394,2,0
4611,2.0652175,4,0
4616,2.6956522,5,0
4618,0.6956522,2,0
4620,0.6956522,2,0
4635,9.326087,15,0
4645,5.913044,10,0
4659,8.565218,14,0
4664,2.6956522,5,0
4674,6.152174,10,0
4678,1.978261,4,0
4682,1.9565217,4,0
4691,5.282609,9,0
4697,3.3913045,6,0
4699,0.6956522,2,0
4707,4.826087,8,0
4713,3.4347827,6,0
4721,4.869565,8,0
4727,3.3695652,6,0
4732,2.6956522,5,0
4737,2.652174,5,0
4739,0.6956522,2,0
4746,4.0652175,7,0
4750,2.0,4,0
4756,3.3478262,6,0
4762,3.4130437,6,0
4765,1.3043479,3,0
4770,2.6086957,5,0
4774,2.0652175,4,0
4777,1.326087,3,0
4782,2.630435,5,0
4788,3.3478262,6,0
4796,4.608696,8,0
4819,15.043477,23,0
4824,2.6739132,5,0
4832,4.7391305,8,0
4836,2.0217392,4,0
4843,4.0869565,7,0
4850,4.0869565,7,0
4855,2.6739132,5,0
4867,7.282609,12,0
4875,4.869565,8,0
4881,3.2608697,6,0
4888,3.9782612,7,0
4890,0.6956522,2,0
4898,4.652174,8,0
4909,6.673913,11,0
4912,1.3695652,3,0
4917,2.6956522,5,0
4919,0.65217394,2,0
4924,2.7608697,5,0
4928,1.978261,4,0
4934,3.4130437,6,0
4937,1.3695652,3,0
4948,6.717391,11,0
4954,3.3913045,6,0
4956,0.6956522,2,0
4958,0.65217394,2,0
4961,1.3913044,3,0
4968,4.0434785,7,0
4974,3.3260872,6,0
4978,2.0652175,4,0
4984,3.3478262,6,0
4987,1.3043479,3,0
4991,2.0,4,0
4996,2.6956522,5,0
5001,2.6956522,5,0
5012,6.608696,11,0
5031,12.282608,19,0
5047,10.108696,16,0
5054,3.9130437,7,0
5062,4.673913,8,0
5077,9.391304,15,0
5080,1.326087,3,0
5093,8.260869,13,0
5103,6.086956,10,0
5112,5.5,9,0
5127,9.304348,15,0
5143,10.086957,16,0
5155,7.391304,12,0
5158,1.3695652,3,0
5181,14.847826,23,0
5184,1.3043479,3,0
5209,16.086956,25,0
5211,0.6956522,2,0
5260,32.41305,49,1
5279,12.108695,19,0
5310,20.152176,31,0
5339,18.78261,29,0
5341,0.6956522,2,0
5385,29.282616,44,1
5470,56.63041,85,0
5475,2.7173915,5,0
5520,29.304361,45,0
5588,45.065216,68,1
5604,10.195651,16,0
5700,64.19563,96,1
5777,51.52002,77,1
5850,48.49999,73,1
5896,30.586964,46,0
5980,56.434772,84,1
6023,28.304361,43,1
6054,20.434782,31,1
6129,49.54345,75,1
6276,99.13043,147,1
6357,54.386925,81,1
6405,31.869581,48,1
6503,64.67386,98,1
6563,39.6087,60,1
6607,28.97827,44,1
6652,29.695658,45,1
6712,39.67392,60,1
6783,46.956516,71,0
6821,24.543484,38,1
6882,41.027992,61,1
6945,41.826084,63,1
7008,41.700756,63,1
7046,24.413052,38,1
7111,44.497116,65,1
7171,40.597485,60,1
7212,27.391306,41,0
7250,24.45653,38,1
