episode,global_step,episode_reward,episode_length,epsilon,avg_loss,crashed,train_density
1,27,21.2585305626282,27,0.997435,nan,1,0.6
2,32,3.9590471683324666,5,0.99696,nan,1,0.6
3,62,25.053497611013317,30,0.99411,nan,0,0.6
4,71,7.594210014853507,9,0.993255,nan,1,0.6
5,95,17.913305061997693,24,0.990975,nan,1,0.6
6,125,25.278274223541374,30,0.988125,nan,1,0.6
7,155,21.085744689117664,30,0.985275,nan,0,0.6
8,179,19.719587176215157,24,0.982995,nan,1,0.6
9,189,8.953734226762998,10,0.9820450000000001,nan,1,0.6
10,218,21.82471898598308,29,0.97929,nan,1,0.6
11,248,21.505891656466744,30,0.97644,nan,0,0.6
12,278,24.659415859296857,30,0.97359,nan,0,0.6
13,308,26.151806534599885,30,0.97074,nan,0,0.6
14,338,25.943348918014873,30,0.96789,nan,0,0.6
15,345,4.523754948641141,7,0.967225,nan,1,0.6
16,364,13.077518721541455,19,0.96542,nan,1,0.6
17,382,13.8645615145674,18,0.96371,nan,1,0.6
18,412,22.161231049631752,30,0.96086,nan,0,0.6
19,426,11.960074521916194,14,0.95953,nan,1,0.6
20,456,21.01956855889982,30,0.95668,nan,0,0.6
21,461,3.5672968598445185,5,0.956205,nan,1,0.6
22,472,9.16624372985087,11,0.95516,nan,1,0.6
23,484,9.956961254332047,12,0.95402,nan,1,0.6
24,487,2.1954904485736004,3,0.953735,nan,1,0.6
25,517,25.623365223280647,30,0.950885,nan,0,0.6
26,530,10.591462025408397,13,0.94965,nan,1,0.6
27,546,14.051970311546416,16,0.94813,nan,1,0.6
28,558,8.674763498888069,12,0.94699,nan,1,0.6
29,572,9.651578788544306,14,0.94566,nan,1,0.6
30,602,21.720699242469056,30,0.94281,nan,0,0.6
31,632,26.757148165371717,30,0.93996,nan,0,0.6
32,662,22.847045677957603,30,0.93711,nan,0,0.6
33,667,3.9572014196905787,5,0.936635,nan,1,0.6
34,673,4.756112614600217,6,0.936065,nan,1,0.6
35,703,22.69391637861166,30,0.933215,nan,0,0.6
36,733,22.554118661452573,30,0.930365,nan,0,0.6
37,763,25.765703646855798,30,0.927515,nan,0,0.6
38,793,25.332457526133723,30,0.9246650000000001,nan,0,0.6
39,821,20.579344843565448,28,0.922005,nan,1,0.6
40,851,26.311151168235504,30,0.919155,nan,1,0.6
41,879,21.701553137698877,28,0.9164950000000001,nan,1,0.6
42,896,11.948278967665953,17,0.91488,nan,1,0.6
43,926,21.87911391090967,30,0.91203,nan,0,0.6
44,937,9.271307904456426,11,0.910985,nan,1,0.6
45,951,10.686226953783395,14,0.909655,nan,1,0.6
46,981,21.923616204695605,30,0.906805,nan,0,0.6
47,1002,15.575484272174378,21,0.90481,nan,1,0.6
48,1032,25.82123718424772,30,0.90196,nan,0,0.6
49,1043,7.37672853503518,11,0.900915,nan,1,0.6
50,1056,9.602230306964163,13,0.89968,nan,1,0.6
51,1073,13.344381459231958,17,0.898065,nan,1,0.6
