episode,global_step,episode_reward,episode_length,episode_speed_mean,episode_crashed_mean,episode_action_mean,episode_TimeLimit.truncated_mean,episode_crashed,episode_lane_changes
1,5,3.9685174766927958,5,27.52085936404514,0.2,2.0,0.0,1.0,0.0
2,10,3.919097362959292,5,23.852010431463512,0.2,1.6,0.0,1.0,0.0
3,17,5.929066416574642,7,26.187628819532343,0.14285714285714285,2.857142857142857,0.0,1.0,0.0
4,29,10.803509535267949,12,26.26169868544979,0.08333333333333333,2.25,0.0,1.0,0.0
5,39,8.767297087120824,10,23.939574753604635,0.1,2.0,0.0,1.0,0.0
6,51,10.939333616697695,12,28.758853633338628,0.08333333333333333,2.4166666666666665,0.0,1.0,0.0
7,54,1.9456174363731407,3,20.30799695371033,0.3333333333333333,1.0,0.0,1.0,0.0
8,64,8.856229423487093,10,26.271882693379858,0.1,2.2,0.0,1.0,0.0
9,76,10.788289782358333,12,25.422288529902744,0.08333333333333333,1.6666666666666667,0.0,1.0,0.0
10,80,2.9349294248968363,4,25.054521262693264,0.25,1.75,0.0,1.0,0.0
11,87,5.877882837259676,7,24.817307366876925,0.14285714285714285,2.2857142857142856,0.0,1.0,0.0
12,104,15.666956961154938,17,25.678575786219437,0.058823529411764705,2.2941176470588234,0.0,1.0,0.0
13,111,5.972860156500246,7,29.23836115381897,0.14285714285714285,2.5714285714285716,0.0,1.0,0.0
14,120,7.89123409986496,9,26.029373222624343,0.1111111111111111,1.3333333333333333,0.0,1.0,0.0
15,123,1.9591383318183944,3,21.754117213152682,0.3333333333333333,2.6666666666666665,0.0,1.0,0.0
16,127,2.9367270907387137,4,25.0,0.25,2.0,0.0,1.0,0.0
17,130,1.9709493498085067,3,23.313631970098722,0.3333333333333333,2.6666666666666665,0.0,1.0,0.0
18,136,4.8904430996626616,6,25.157974130423852,0.16666666666666666,1.6666666666666667,0.0,1.0,0.0
19,157,19.538338242971804,21,25.082816941670135,0.047619047619047616,2.0,0.0,1.0,0.0
20,168,9.808976350235753,11,25.085484984966534,0.09090909090909091,2.272727272727273,0.0,1.0,0.0
21,175,5.907313406467438,7,26.937121180586235,0.14285714285714285,1.4285714285714286,0.0,1.0,0.0
22,179,2.9412338733673096,4,23.394802101084736,0.25,2.25,0.0,1.0,0.0
23,182,1.949808297562413,3,20.84676521046679,0.3333333333333333,2.0,0.0,1.0,0.0
24,190,6.917859576642513,8,27.123090895850016,0.125,1.5,0.0,1.0,0.0
25,205,13.874559877323918,15,27.821581509972994,0.06666666666666667,2.1333333333333333,0.0,1.0,0.0
26,212,5.870758354663849,7,24.98427915967351,0.14285714285714285,2.2857142857142856,0.0,1.0,0.0
27,216,2.97729186527431,4,27.091051043259824,0.25,2.25,0.0,1.0,0.0
28,218,0.9766868902370334,2,24.166666666666664,0.5,0.0,0.0,1.0,0.0
29,230,10.83111810486298,12,25.75019453952449,0.08333333333333333,2.0,0.0,1.0,0.0
30,236,4.891045687603764,6,24.7902356044949,0.16666666666666666,2.3333333333333335,0.0,1.0,0.0
