episode,global_step,episode_reward,episode_length
1,7,5.858700335025787,7
2,14,5.894101498532109,7
3,25,9.834945496870205,11
4,28,1.9456338872550987,3
5,36,6.83302628993988,8
6,48,10.812589583802037,12
7,50,0.983098030090332,2
8,61,9.744721034541726,11
9,69,6.915887831652071,8
10,79,8.946965120732784,10
11,84,3.910161432577297,5
12,97,11.831500887870789,13
13,103,4.864877043175511,6
14,110,5.869221984350588,7
15,113,1.9476534108398482,3
16,131,16.832423504441977,18
17,137,4.973354484885931,6
18,141,2.9587277750251815,4
19,144,1.9475532750366256,3
20,168,22.544325765920803,24
21,178,8.917464729398489,10
22,182,2.9408077001571655,4
23,187,3.955551383900456,5
24,189,0.9744082073448226,2
25,200,9.786658941709902,11
26,203,1.9792581190704368,3
27,212,7.902949571609497,9
28,218,4.913007615017705,6
29,228,8.825176287908107,10
30,234,4.89871995896101,6
31,240,4.879231748986058,6
32,249,7.851329443859868,9
33,253,2.947535632061772,4
34,255,0.9724888205528259,2
35,261,4.896991845918819,6
36,264,1.9692886471748352,3
37,276,10.832188682630658,12
38,280,2.9232947200071067,4
39,283,1.961324599571526,3
40,288,3.9060348858474754,5
41,306,16.606440005707555,18
42,309,1.9489329437492415,3
43,313,2.9769011726020835,4
44,323,8.870279057882726,10
45,330,5.870760260033421,7
46,355,23.452418634667993,25
47,365,8.854288873029873,10
48,371,4.873320637154393,6
49,374,1.9475532750366256,3
50,379,3.90451830427628,5
51,386,5.9151476611732505,7
52,390,2.933813441544771,4
53,396,4.8712336390744895,6
54,412,14.65201645786874,16
55,425,11.805237889289856,13
56,443,16.71620398660889,18
57,446,1.9478911141632125,3
58,453,5.899723647045903,7
59,459,4.891392764402553,6
60,473,12.79528647562256,14
61,476,1.9591383318183944,3
62,481,3.9450198381673545,5
63,485,2.920780061685946,4
64,502,15.666609046864323,17
65,509,5.952386735880282,7
66,513,2.9226994494674727,4
67,518,3.909149148501456,5
68,523,3.8909471621154808,5
69,527,2.9174804091453552,4
70,530,1.9472513188957237,3
71,553,21.598129155114293,23
72,557,2.9235789149533957,4
73,563,4.863151788711548,6
74,565,0.9760420888196677,2
75,571,4.881485637975857,6
76,577,4.8900152434944175,6
77,595,16.62904053926468,18
78,602,5.8936338414787315,7
79,614,10.697729110717773,12
80,623,7.7930585136055015,9
81,636,11.779376207792666,13
82,642,4.931838613934815,6
83,647,3.8905950774787925,5
84,656,7.794055818521883,9
85,663,5.88200431963196,7
86,674,9.813657251186669,11
87,686,10.965949891018681,12
88,695,7.832953212666325,9
89,704,7.888026653730776,9
90,719,13.7168923606514,15
91,723,2.924504218506627,4
92,725,0.9724888205528259,2
93,728,1.9470136155723594,3
94,730,0.9984531439840794,2
95,736,4.883303937269375,6
96,742,4.873960432363674,6
97,746,2.918809055292513,4
98,753,5.84856504201889,7
99,755,0.9850174168823287,2
100,758,1.9457340230583213,3
101,768,8.781274911714718,10
102,773,3.894805845571682,5
103,780,5.919948515249416,7
104,790,8.841806051088497,10
105,796,4.873960432363674,6
106,812,14.605153381824493,16
107,819,5.8480808704625815,7
108,822,1.968390166759491,3
109,829,5.905130919767544,7
110,845,14.638262900523841,16
111,849,2.925144013715908,4
112,868,17.708679974079132,19
113,888,18.52145141165238,20
114,891,1.9737672179471701,3
115,897,4.877006768190768,6
116,905,6.883485316240694,8
117,910,3.9184575657127425,5
118,915,3.9176687002182007,5
119,919,2.9459687441121787,4
120,929,8.855300297960639,10
121,933,2.9318321923492476,4
122,940,5.848453400540166,7
123,962,20.47711443703156,22
124,973,9.73082756693475,11
125,980,5.845870194840245,7
126,993,11.701597392559052,13
127,997,2.9206818907987326,4
128,999,0.9741227010963485,2
129,1008,7.794080972671509,9
130,1021,11.717362341238186,13
131,1028,5.873307466506958,7
132,1033,3.893910644459538,5
133,1039,4.873032864881679,6
134,1060,19.51387059688568,21
135,1075,13.715594111883547,15
136,1078,1.9468970288871787,3
137,1082,2.9335465411422774,4
138,1092,8.768869696068577,10
139,1095,1.9491707066772506,3
140,1098,1.9472513188957237,3
141,1107,7.802808520151302,9
142,1112,3.901038322597742,5
143,1115,1.94625723361969,3
144,1123,6.821849284577183,8
145,1125,1.0189253985881805,2
146,1132,5.85997724434128,7
147,1147,13.946257230592892,15
148,1149,0.9795986860990524,2
149,1166,15.737323828041553,17
150,1171,3.8935063461540267,5
151,1186,13.942692805081606,15
152,1199,11.908766745531466,13
153,1216,15.649583458900452,17
154,1232,14.629362394101918,16
155,1236,2.9184605479240417,4
156,1240,2.920379936695099,4
157,1252,10.820065018488094,12
158,1256,2.9299746556207538,4
159,1264,6.819407223665621,8
160,1267,1.971589147055056,3
161,1272,3.895713447534945,5
162,1284,10.704915339592844,12
163,1287,1.9550011060200632,3
164,1290,1.9468970288871787,3
165,1293,1.94625723361969,3
166,1302,7.794685124361422,9
167,1314,10.736852042376995,12
168,1320,4.912651360034943,6
169,1337,15.624244840815663,17
170,1343,4.8981368858367205,6
171,1352,7.789851128065493,9
172,1356,2.923576710629277,4
173,1358,0.9837378263473511,2
174,1363,3.897345123696141,5
175,1366,1.949168500257656,3
176,1375,7.816205916809849,9
177,1380,3.904417214798741,5
178,1395,13.769280968117528,15
179,1397,0.977039503864944,2
180,1402,3.907602247549221,5
181,1404,0.983098030090332,2
182,1406,0.9728431105613708,2
183,1410,2.9181062569259666,4
184,1420,8.768668947624974,10
185,1425,3.8938080072402954,5
186,1427,0.9850174168823287,2
187,1431,2.9287154664634727,4
188,1438,5.8728721141815186,7
189,1441,1.9456174363731407,3
190,1454,11.77507793600671,13
191,1459,3.9315568178426474,5
192,1467,6.869028717279434,8
193,1477,8.790786147117615,10
194,1483,4.865069627761841,6
195,1493,8.826889752352145,10
196,1513,18.75403767626267,20
197,1520,5.86635672947159,7
198,1525,3.907847939932253,5
199,1535,8.769388376676943,10
200,1552,15.63403594493866,17
201,1567,13.793696284294128,15
202,1574,5.865422247850802,7
203,1592,16.590599082410336,18
204,1605,11.795185208320618,13
205,1611,4.882895944523625,6
206,1620,7.79142689506989,9
207,1626,4.921858426881954,6
208,1643,15.826758262468502,17
209,1652,7.805500090122223,9
210,1659,5.861151694261935,7
211,1671,10.836405992507935,12
212,1676,3.890947163105011,5
213,1682,4.934406012296677,6
214,1686,2.917466461658478,4
215,1709,21.535418689250946,23
216,1719,8.768177924561314,10
217,1732,11.720036005601287,13
218,1740,6.860805332660675,8
219,1752,10.7166348695755,12
220,1760,6.807435691356659,8
221,1765,3.8909471621154808,5
222,1779,12.835609136032872,14
223,1791,10.72040843963623,12
224,1798,5.869684097124264,7
225,1810,10.75266158382874,12
226,1814,2.9463522403966635,4
227,1817,1.956866443157196,3
228,1835,16.680599231272936,18
229,1866,29.286446031881496,31
230,1877,9.901806712150574,11
231,1879,0.9843776216148399,2
232,1882,1.9628641181625426,3
233,1894,10.698485790693667,12
234,1907,11.832825898134615,13
235,1913,4.864430069923401,6
236,1928,13.636321425437927,15
237,1941,11.775366241112351,13
238,1943,1.0015457030385733,2
239,1948,3.8945017437217757,5
240,1961,11.692897260189056,13
241,1974,11.77983146905899,13
242,1981,5.860439240932465,7
243,1987,4.86826878687134,6
244,1995,6.808427572250366,8
245,1998,1.9903338951990008,3
246,2004,4.904346584284212,6
247,2016,10.943505703413393,12
248,2020,2.9538696994422935,4
249,2030,8.850102066993713,10
250,2044,12.68872731924057,14
251,2058,12.71730238001328,14
252,2065,5.854499278473668,7
253,2088,21.67803305387497,23
254,2097,7.804290174448397,9
255,2100,1.9575062384246849,3
256,2117,15.676551160169765,17
257,2129,10.790346321417019,12
258,2143,12.669226106954738,14
259,2146,1.946609317266848,3
